GeneID	Homo_sapiens.dN	Homo_sapiens.dS	Homo_sapiens.dw	Homo_sapiens.w
ENSG00000124209	0.002575	3e-06	998.9999	858.3333333
ENSG00000064703	0.001774	0.000494	3.3596	3.591093117
ENSG00000160161	0.001457	0.010208	0.0739	0.142731191
ENSG00000110514	1e-06	0.006161	-0.051	0.000162311
ENSG00000076864	0.059117	0.090815	0.635	0.650960744
ENSG00000086015	0.00042	0.004386	-0.0093	0.095759234
ENSG00000112499	0	0.003957	-0.1573	0.0001
ENSG00000168032	0.000891	0.006505	-0.2007	0.13697156
ENSG00000167744	2e-06	0	38.2323	38.3429
ENSG00000167741	0.003914	4e-06	998.4962	978.5
ENSG00000167740	2e-06	0.024589	-0.2829	8.13371832933e-05
ENSG00000168038	0.00461	0.004106	0.8749	1.122747199
ENSG00000167749	0.001466	0.006149	-0.1552	0.23841275
ENSG00000077279	0	5e-06	0	0.0001
ENSG00000124201	0.000752	0.006114	-0.0263	0.122996402
ENSG00000152556	0	0.003245	-0.0301	0.0001
ENSG00000184465	0.001292	1e-06	998.6918	1292
ENSG00000084676	0.000326	0.005105	-0.0083	0.063858962
ENSG00000087494	0	6e-06	-0.1682	0.0001
ENSG00000171403	1e-06	0.008471	-0.3696	0.00011805
ENSG00000117791	1e-06	0.005965	-0.3424	0.000167645
ENSG00000143158	1e-06	0.012103	-0.0766	8.26241427745e-05
ENSG00000169744	1e-06	0.014679	-0.0173	6.81245316438e-05
ENSG00000197150	0.000837	0.017353	-0.0856	0.048233735
ENSG00000177565	0	5e-06	-0.0176	0.0001
ENSG00000161202	0	0.00227	-0.0045	0.0001
ENSG00000168297	0	0.001581	-0.0575	0.0001
ENSG00000183255	0	6e-06	-0.0828	0.0001
ENSG00000168291	1e-06	0.014801	-0.069	6.75630024998e-05
ENSG00000120907	1e-06	1e-06	1.2319	1
ENSG00000120903	0.002483	0.001485	1.5453	1.672053872
ENSG00000204220	1e-06	0.009525	0	0.000104987
ENSG00000105877	0.002649	0.008935	0.0783	0.296474538
ENSG00000163214	0.001009	0.006955	0.0002	0.145075485
ENSG00000135074	0.008983	0.015065	0.4387	0.596282775
ENSG00000135070	1e-06	2e-06	0.611	0.5
ENSG00000065600	0.003904	0.016366	0.1493	0.238543322
ENSG00000057294	0.00122	1e-06	998.9489	1220
ENSG00000116117	0.003179	0.000726	4.2539	4.378787879
ENSG00000131759	0.003061	0.01979	-0.0257	0.154674078
ENSG00000142279	1e-06	0.014155	-0.0364	7.06464146945e-05
ENSG00000146083	0	0.00268	-0.0126	0.0001
ENSG00000136250	0.002447	2e-06	998.8031	1223.5
ENSG00000149021	0	5e-06	-1.4952	0.0001
ENSG00000146085	0.001186	0.006839	0.0922	0.173417166
ENSG00000132591	0.003755	0.011808	0.0471	0.318004743
ENSG00000102471	0.001765	2e-06	998.839	882.5
ENSG00000149798	0.002044	0.00476	0.3523	0.429411765
ENSG00000165997	1e-06	2e-06	0.7969	0.5
ENSG00000183054	0.010616	1.1e-05	998.6728	965.0909091
ENSG00000177707	1e-06	0.006077	-0.0284	0.000164555
ENSG00000143157	1e-06	0.008673	-0.0393	0.0001153
ENSG00000180644	2e-06	0.019402	-0.2751	0.000103082
ENSG00000203872	0.002772	0.003215	0.1721	0.862208398
ENSG00000187961	2e-06	0.016983	-0.0134	0.000117765
ENSG00000147689	0.002331	2e-06	998.755	1165.5
ENSG00000147684	2e-06	0	39.1513	39.5359
ENSG00000188342	1e-06	0.012165	-0.0404	8.22030415125e-05
ENSG00000188343	1e-06	2e-06	0.1699	0.5
ENSG00000114529	0.345155	0.328784	-0.125	1.049792569
ENSG00000166831	0.002679	0.012897	0.1595	0.207722726
ENSG00000166833	0.000605	0.024455	-0.0644	0.024739317
ENSG00000162849	0.00713	0.014417	0.4068	0.494555039
ENSG00000114520	0	5e-06	-0.2894	0.0001
ENSG00000166839	0.004359	0.015963	0.0346	0.273068972
ENSG00000145198	0.001435	0.008079	0.0054	0.177620993
ENSG00000149243	0.001963	2e-06	998.9465	981.5
ENSG00000184702	2e-06	0.017211	-0.0515	0.000116205
ENSG00000169813	1e-06	0.006092	-0.0194	0.00016415
ENSG00000145191	0.001352	1e-06	998.8526	1352
ENSG00000145192	0.004534	0.007724	-0.4377	0.587001554
ENSG00000145194	0.002278	0.003428	0.6126	0.664527421
ENSG00000184708	0.000491	0.004432	-0.0117	0.110785199
ENSG00000169814	0.003572	0.006543	0.2841	0.545926945
ENSG00000163462	0	0.004353	-0.0223	0.0001
ENSG00000163463	0	6e-06	-0.1952	0.0001
ENSG00000163466	0	0.004399	0	0.0001
ENSG00000240021	0.009967	0.008828	0.6481	1.129021296
ENSG00000163468	0	0.000472	-0.0414	0.0001
ENSG00000168036	0	4e-06	0	0.0001
ENSG00000048471	0	6e-06	-0.0066	0.0001
ENSG00000105290	0.002447	0.008376	0.1911	0.292144222
ENSG00000162599	0.010935	0.010102	1.0823	1.082458919
ENSG00000179222	1e-06	0.006133	-0.0788	0.000163052
ENSG00000109736	1e-06	0.013395	-0.1203	7.46547219112e-05
ENSG00000116731	0.001216	0.007257	0.0381	0.167562354
ENSG00000109738	0.000916	0.016104	0.0342	0.056880278
ENSG00000058600	0.000646	0.014484	-0.0014	0.044600939
ENSG00000162591	0.006654	0.015507	0.2664	0.429096537
ENSG00000172289	0.004811	0.007993	0.384	0.601901664
ENSG00000029363	0	0.002372	-0.0546	0.0001
ENSG00000162594	0.002132	2e-06	998.8676	1066
ENSG00000118640	3e-06	0.027251	-0.1375	0.000110088
ENSG00000099840	0.000613	1e-06	998.7697	613
ENSG00000069329	1e-06	0.008994	0	0.000111185
ENSG00000090776	1e-06	0.007162	-0.0448	0.000139626
ENSG00000115073	0	0.001993	-0.0111	0.0001
ENSG00000068354	0	0.000252	-0.1236	0.0001
ENSG00000213853	0.005025	5e-06	998.7413	1005
ENSG00000135960	0	6e-06	-0.0286	0.0001
ENSG00000029534	0.000264	0.009312	-0.052	0.028350515
ENSG00000213585	2e-06	0	14.5813	14.5933
ENSG00000138696	0.001426	0.003186	0.4208	0.447583176
ENSG00000138347	0.000668	0.006086	-0.1576	0.109760105
ENSG00000138346	0.001163	0.001503	0.5698	0.773785762
ENSG00000213588	0.001213	0.009358	0.07	0.129621714
ENSG00000213859	0.001963	2e-06	998.8757	981.5
ENSG00000105122	0	0.002538	-0.2614	0.0001
ENSG00000014216	0.002144	0.01167	0.1521	0.183718937
ENSG00000105127	0.001652	0.003904	0.2144	0.423155738
ENSG00000112685	0.000682	0.017199	-0.034	0.039653468
ENSG00000102128	1e-06	0.007044	-0.1581	0.000141965
ENSG00000175324	0	4e-06	0	0.0001
ENSG00000070269	0.00236	0.005322	0.1993	0.443442315
ENSG00000186566	0.000406	0.004448	-0.052	0.091276978
ENSG00000186567	2e-06	0.020664	-0.6177	9.67866821525e-05
ENSG00000186562	2e-06	0	44.7208	45.5796
ENSG00000146555	0.002264	0.031006	0.0019	0.073018126
ENSG00000146223	1e-06	0.009374	-0.1302	0.000106678
ENSG00000146221	0.001749	0.005236	0.1873	0.334033613
ENSG00000060709	0.001127	0.014598	-0.0352	0.077202356
ENSG00000155465	1e-06	0.005183	-0.1027	0.000192938
ENSG00000051009	0.002388	0.003686	0.52	0.647856755
ENSG00000133318	0.001429	0.00273	-0.0802	0.523443223
ENSG00000133317	0	5e-06	-0.4209	0.0001
ENSG00000055070	0.086335	0.18193	0.3821	0.474550651
ENSG00000141026	0	6e-06	-0.1792	0.0001
ENSG00000133313	0.002195	2e-06	998.9485	1097.5
