	Ensembl ID	HGNC symbol	DBD
0	ENSG00000137203	TFAP2A	AP-2
1	ENSG00000008196	TFAP2B	AP-2
2	ENSG00000087510	TFAP2C	AP-2
3	ENSG00000008197	TFAP2D	AP-2
4	ENSG00000116819	TFAP2E	AP-2
5	ENSG00000117713	ARID1A	ARID/BRIGHT
6	ENSG00000049618	ARID1B	ARID/BRIGHT
7	ENSG00000116017	ARID3A	ARID/BRIGHT
8	ENSG00000179361	ARID3B	ARID/BRIGHT
9	ENSG00000205143	ARID3C	ARID/BRIGHT
10	ENSG00000032219	ARID4A	ARID/BRIGHT
11	ENSG00000054267	ARID4B	ARID/BRIGHT
12	ENSG00000196843	ARID5A	ARID/BRIGHT
13	ENSG00000150347	ARID5B	ARID/BRIGHT
14	ENSG00000008083	JARID2	ARID/BRIGHT
15	ENSG00000073614	KDM5A	ARID/BRIGHT
16	ENSG00000117139	KDM5B	ARID/BRIGHT
17	ENSG00000126012	KDM5C	ARID/BRIGHT
18	ENSG00000012817	KDM5D	ARID/BRIGHT
19	ENSG00000189079	ARID2	ARID/BRIGHT; RFX
20	ENSG00000153207	AHCTF1	AT hook
21	ENSG00000126705	AHDC1	AT hook
22	ENSG00000106948	AKNA	AT hook
23	ENSG00000116539	ASH1L	AT hook
24	ENSG00000173894	CBX2	AT hook
25	ENSG00000101457	DNTTIP1	AT hook
26	ENSG00000104885	DOT1L	AT hook
27	ENSG00000140632	GLYR1	AT hook
28	ENSG00000137309	HMGA1	AT hook
29	ENSG00000149948	HMGA2	AT hook
30	ENSG00000025293	PHF20	AT hook
31	ENSG00000135365	PHF21A	AT hook
32	ENSG00000126464	PRR12	AT hook
33	ENSG00000146285	SCML4	AT hook
34	ENSG00000152217	SETBP1	AT hook
35	ENSG00000080603	SRCAP	AT hook
36	ENSG00000188070	C11orf95	BED ZF
37	ENSG00000237765	FAM200B	BED ZF
38	ENSG00000141258	SGSM2	BED ZF
39	ENSG00000214717	ZBED1	BED ZF
40	ENSG00000177494	ZBED2	BED ZF
41	ENSG00000132846	ZBED3	BED ZF
42	ENSG00000100426	ZBED4	BED ZF
43	ENSG00000236287	ZBED5	BED ZF
44	ENSG00000257315	ZBED6	BED ZF
45	ENSG00000221886	ZBED8	BED ZF
46	ENSG00000232040	ZBED9	BED ZF
47	ENSG00000106546	AHR	bHLH
48	ENSG00000063438	AHRR	bHLH
49	ENSG00000143437	ARNT	bHLH
50	ENSG00000172379	ARNT2	bHLH
51	ENSG00000133794	ARNTL	bHLH
52	ENSG00000029153	ARNTL2	bHLH
53	ENSG00000139352	ASCL1	bHLH
54	ENSG00000183734	ASCL2	bHLH
55	ENSG00000176009	ASCL3	bHLH
56	ENSG00000187855	ASCL4	bHLH
57	ENSG00000232237	ASCL5	bHLH
58	ENSG00000172238	ATOH1	bHLH
59	ENSG00000179774	ATOH7	bHLH
60	ENSG00000168874	ATOH8	bHLH
61	ENSG00000180535	BHLHA15	bHLH
62	ENSG00000205899	BHLHA9	bHLH
63	ENSG00000180828	BHLHE22	bHLH
64	ENSG00000125533	BHLHE23	bHLH
65	ENSG00000134107	BHLHE40	bHLH
66	ENSG00000123095	BHLHE41	bHLH
67	ENSG00000250709	CCDC169-SOHLH2	bHLH
68	ENSG00000134852	CLOCK	bHLH
69	ENSG00000116016	EPAS1	bHLH
70	ENSG00000146618	FERD3L	bHLH
71	ENSG00000183733	FIGLA	bHLH
72	ENSG00000113196	HAND1	bHLH
73	ENSG00000164107	HAND2	bHLH
74	ENSG00000187821	HELT	bHLH
75	ENSG00000114315	HES1	bHLH
76	ENSG00000069812	HES2	bHLH
77	ENSG00000173673	HES3	bHLH
